politician,country,birth date,death date,political party,gender,Instagram followers,Instagram link,X followers,X link
Ebba Hermansson,Sweden,1996.0,,Sverigedemokraterna (Sweden),female,,,,
Marina Lovric Merzel,Croatia,1996.0,,Independent (Croatia),female,,,,
Ouiam Mahrachi,Morocco,1995.0,,Parti Authenticite Et Modernite (Morocco),female,,,,
Sylvia Masebo,Zambia,1994.0,,Patriotic Front (Zambia),female,,,,
Samira Marti,Switzerland,1994.0,,S (Switzerland),female,,,,
Mutinta C Mazoka,Zambia,1994.0,,United Party For National Development (Zambia),female,,,,
Chloe Swarbrick,New Zealand,1994.0,,Green Party (New Zealand),female,,,66133.0,_chloeswarbrick
Mhairi Black,United Kingdom,1994.0,,Scottish National Party (United Kingdom),female,,,247394.0,MhairiBlack
Tilde Bork,Denmark,1993.0,,The Danish People S Party (Denmark),female,,,546.0,TildeBork
Maria Monserrath Sobreyra Santos,Mexico,1993.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Francisca Mensah Oteng,Ghana,1993.0,,New Patriotic Party (Ghana),female,,,,
Kejdi Mehmetaj,Albania,1993.0,,,female,,,,
Ivana Tufegdzik,North Macedonia,1993.0,,Independent Mps (North Macedonia),female,,,,
Typhanie Degois,France,1993.0,,En Marche (France),female,,,3178.0,Typhanie_Degois
Proscovia Oromait Alengot,Uganda,1993.0,,National Resistance Movement (Uganda),female,,,,
Emilie Enger Mehl,Norway,1993.0,,Senterpartiet (Norway),female,,,,emiliemehl
Djuna Bernard,Luxembourg,1992.0,,Dei Greng (Luxembourg),female,,,,
Mara Mares,Romania,1992.0,,PNL (Romania),female,,,,
Magda Rasmusson,Sweden,1992.0,,Miljopartiet De Grona (Sweden),female,,,5403.0,magdarasmusson
Aylin Fazelian,Sweden,1992.0,,Socialdemokraterna (Sweden),female,,,,
Tie Fei Yan,China,1992.0,,,female,,,,
Marit Knutsdatter Strand,Norway,1992.0,,Senterpartiet (Norway),female,,,,
Eva Akerboom,Netherlands,1992.0,,Partij Voor De Dieren (Netherlands),female,,,,
Ida Ekeroth,Sweden,1991.0,,Socialdemokraterna (Sweden),female,,,,
Jessica Salazar Trejo,Mexico,1991.0,,Partido De La Revolucion Democratica (Mexico),female,,,,
Noria Manouchi,Sweden,1991.0,,Moderata Samlingspartiet (Sweden),female,,,,
Benedicte Peyrol,France,1991.0,,En Marche (France),female,,,6252.0,B_Peyrol
Cassandra Sundin,Sweden,1991.0,,Sverigedemokraterna (Sweden),female,,,,CassandraSundin
Barrios Slother Marialbert Juliana,Venezuela,1991.0,,MUD (Venezuela),female,,,,
Mari Holm Lonseth,Norway,1991.0,,Hoyre (Norway),female,,,,
Sandrine Le Feur,France,1991.0,,En Marche (France),female,,,8848.0,SandrineLeFeur
Marina Radvan,Moldova,1991.0,,Fractiunea Partidului Socialistilor Din Republica Moldova (Moldova),female,,,,
Megan Fearon,United Kingdom,1991.0,,Sinn Fein (United Kingdom),female,,,,mfearonsf
Halima Abdallah Bulembo,Tanzania,1991.0,,Chama Cha Mapinduzi (Tanzania),female,,,13112.0,halimabulembo
Johanna Maria Sigmundsdottir,Iceland,1991.0,,Progressive Party (Iceland),female,,,,
Orfhlaith Begley,United Kingdom,1991.0,,Sinn Fein (United Kingdom),female,,,14245.0,OrfhlaithBegley
Nora Arustamyan,Armenia,1991.0,,Prosperous Armenia (Armenia),female,,,,
Sofia Folster,Sweden,1991.0,,Moderata Samlingspartiet (Sweden),female,,,2060.0,SofiaFolster
Yau Wai Ching,China,1991.0,,"Youngspiration (Hong Kong SAR, China)",female,,,,
Anna Adeke Ebaju,Uganda,1991.0,,Independent (Uganda),female,,,,
Teodora Atanasova Khalacheva,Bulgaria,1991.0,,Parliamentary Group Bsp For Bulgaria (Bulgaria),female,,,,
Rebecka Le Moine,Sweden,1990.0,,Miljopartiet De Grona (Sweden),female,,,,
Aida Joseph Khenani,Tanzania,1990.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Crystal Tovar Aragon,Mexico,1990.0,,Partido De La Revolucion Democratica (Mexico),female,,,,
Asta Helgadottir,Iceland,1990.0,,Pirate Party (Iceland),female,,,8295.0,asta_fish
Charmaine Borg,Canada,1990.0,,NDP (Canada),female,,,1920.0,cborgNPD
Eva Pandora Baldursdottir,Iceland,1990.0,,Pirate Party (Iceland),female,,,,
Khadija Nassir Ali,Tanzania,1990.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Angelika Bengtsson,Sweden,1990.0,,Sverigedemokraterna (Sweden),female,,,5470.0,AngBengtsson
Biljana Gaca,Croatia,1990.0,,SDP (Croatia),female,,,,
Aslaug Arna Sigurbjornsdottir,Iceland,1990.0,,Independence Party (Iceland),female,,,,
Laurin Liu,Canada,1990.0,,NDP (Canada),female,,,4378.0,laurinliu
Imren Ismetova Mekhmedova,Bulgaria,1990.0,,Parliamentary Group Movement For Rights And Freedoms (Bulgaria),female,,,,
Kate Forbes,United Kingdom,1990.0,,Scottish National Party (United Kingdom),female,,,,KateForbesMSP
Elise Bjornebekk Waagen,Norway,1990.0,,Arbeiderpartiet (Norway),female,,,,
Rachel Bendayan,Canada,1990.0,,Liberal (Canada),female,,,,
Emmanuella Lambropoulos,Canada,1990.0,,Liberal (Canada),female,,,,
Ida Drougge,Sweden,1990.0,,Moderata Samlingspartiet (Sweden),female,,,7578.0,idadrougge
Marie Lebec,France,1990.0,,En Marche (France),female,,,,marielebec78
Hon Munira Mustafa Khatib,Tanzania,1990.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Zainab Athman Katimba,Tanzania,1990.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Solfrid Lerbrekk,Norway,1990.0,,Sosialistisk Venstreparti (Norway),female,,,176.0,solfridlerbrekk
Maria Such Palomares,Spain,1990.0,,G.p. Socialista (Spain),female,,,4728.0,SuchMaria
Nayua Miriam Alba Goveli,Spain,1990.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,17594.0,NaguaAlba
Amne Ali,Sweden,1990.0,,Socialdemokraterna (Sweden),female,,,,
Shake Isayan,Armenia,1990.0,,Prosperous Armenia (Armenia),female,,,,
Koshelieva Al Ona Volodimirivna,Ukraine,1990.0,,Fraktsiia Radikal Noyi Partiyi Olega Liashka (Ukraine),female,,,,
Sandra Perkovic,Croatia,1990.0,,Bm 365 (Croatia),female,,,,perkovicsandra
Ani Samsonyan,Armenia,1990.0,,Bright Armenia (Armenia),female,,,,
Nh Khld Qyd Mhmwd Lhmyl,Egypt,1990.0,,Mstqbl Wtn (Egypt),female,,,,
Magdalena Schroder,Sweden,1990.0,,Moderata Samlingspartiet (Sweden),female,,,404.0,magganschroder
Kalina Petrova Balabanova,Bulgaria,1990.0,,Ataka Party (Bulgaria),female,,,,
Isabel Pires,Portugal,1990.0,,BE (Portugal),female,,,,
Louise Meijer,Sweden,1990.0,,Moderata Samlingspartiet (Sweden),female,,,,
Kinga Gajewska,Poland,1990.0,,Klub Parlamentarny Platforma Obywatelska (Poland),female,,,,
Ronja Kemmer,Germany,1989.0,,Christian Democratic Union (Germany),female,,,4794.0,RonjaKemmer
Alexandria Ocasio Cortez,United States,1989.0,,Democrat (United States),female,,aoc,13415586.0,AOC
Sr Slh Bd Lmtlb Mhmd,Egypt,1989.0,,Lmhfzyn (Egypt),female,,,,
Vivian Beatriz Preciado Navarijo,Guatemala,1989.0,,UCN (Guatemala),female,,,,
Sandra Ester Cruz Ramirez,Guatemala,1989.0,,FCN (Guatemala),female,,,,
Sarah El Hairy,France,1989.0,,Mouvement Democrate (France),female,,,43447.0,sarahelhairy
Brunny,Brazil,1989.0,,PR (Brazil),female,,,,
Ivana Nikolic,Serbia,1989.0,,Serbian Progressive Party (Serbia),female,,,,
Yasmine Eriksson,Sweden,1989.0,,Sverigedemokraterna (Sweden),female,,,,
Mihaela Spatari,Moldova,1989.0,,Grupul Parlamentar Popular European (Moldova),female,,,,
Margarida Balseiro Lopes,Portugal,1989.0,,PSD (Portugal),female,,,,
Elin Gustafsson,Sweden,1989.0,,Socialdemokraterna (Sweden),female,,,,
Ionela Viorela Dobrica,Romania,1989.0,,PSD (Romania),female,,,,
Mylene Freeman,Canada,1989.0,,NDP (Canada),female,,,2486.0,MyleneFreeman
Marion Marechal Le Pen,France,1989.0,,Front National (France),female,,,183.0,Marion_M_Le_Pen
Alexandra Corina Bogaciu,Romania,1989.0,,PSD (Romania),female,,,,
Monika Udovicic,Croatia,1989.0,,HDZ (Croatia),female,,,,
Kamal Khera,Canada,1989.0,,Liberal (Canada),female,,,24801.0,KamalKheraLib
Kirstene Hair,United Kingdom,1989.0,,Conservative (United Kingdom),female,,,,Kirstene4Angus
Danielle Rowley,United Kingdom,1989.0,,Labour (United Kingdom),female,,,11630.0,DaniRowley
Alexandra Volker,Sweden,1989.0,,Socialdemokraterna (Sweden),female,,,,
Annika Hirvonen Falk,Sweden,1989.0,,Miljopartiet De Grona (Sweden),female,,,2827.0,AnnikaHirvonen
Jesca David Kishoa,Tanzania,1989.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Lawen Redar,Sweden,1989.0,,Socialdemokraterna (Sweden),female,,,7.0,LawenRedar
Re Han Gu Li Yi Mi Er,China,1989.0,,,female,,,,
Mavis Nkansah Boadu,Ghana,1989.0,,New Patriotic Party (Ghana),female,,,,
Mathilde Panot,France,1989.0,,La France Insoumise (France),female,,,,mathildepanot
Angela Rodriguez Martinez,Spain,1989.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,43242.0,Pam_Angela_
Abby Finkenauer,United States,1988.0,,Democrat (United States),female,,abby4iowa,52249.0,Abby4Iowa
Mara Daniela Calista,Romania,1988.0,,PNL (Romania),female,,,,
Laura Pidcock,United Kingdom,1988.0,,Labour (United Kingdom),female,,,,laurapidcockmp
Mariamu Ditopile Mzuzuri,Tanzania,1988.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Clara Aranda,Sweden,1988.0,,Sverigedemokraterna (Sweden),female,,,,
Lisa Mazzone,Switzerland,1988.0,,G (Switzerland),female,,,,
Hanna Sarkkinen,Finland,1988.0,,Vasemmistoliitto (Finland),female,,,10529.0,HSarkkinen
Aida Cristina Caruceru,Romania,1988.0,,PSD (Romania),female,,,,
Wang Ling Nuo,China,1988.0,,,female,,,,
Joycelyn Tetteh,Ghana,1988.0,,National Democratic Congress (Ghana),female,,,,
Mette Abildgaard,Denmark,1988.0,,The Conservative Party (Denmark),female,,,19865.0,metteabildgaard
Alexandra Fernandez Gomez,Spain,1988.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,8156.0,aKollontai
Yasmine Larsson,Sweden,1988.0,,Socialdemokraterna (Sweden),female,,,270.0,yasminelundin
Khawla Ben Aicha,Tunisia,1988.0,,Bloc Al Horra Du Mouvement Machrouu Tounes (Tunisia),female,,,16685.0,Khaw_laa
Anne Paulin,Denmark,1988.0,,The Social Democratic Party (Denmark),female,,,,paulin_anne
Orlaithi Flynn,United Kingdom,1988.0,,Sinn Fein (United Kingdom),female,,,,orlaithiflynnsf
Eve Peclet,Canada,1988.0,,NDP (Canada),female,,,2100.0,evepeclet
Elzbieta Zielinska,Poland,1988.0,,Klub Poselski Kukiz 15 (Poland),female,,,,
Anne Laure Cattelot,France,1988.0,,En Marche (France),female,,,5052.0,ALCattelot
"Delia Pratiwi Br. Sitepu, Sh",Indonesia,1988.0,,Golkar Party Faction (Indonesia),female,,,,
Fatima Ezzahra Nazih,Morocco,1988.0,,Mouvement Populaire (Morocco),female,,,,
Irene Maria Montero Gil,Spain,1988.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,,Irene_Montero_
Dragica Roscic,Croatia,1988.0,,HDZ (Croatia),female,,,,
Rosemarie Falk,Canada,1988.0,,Conservative (Canada),female,,,2012.0,rosemarie_falk
Leila Ali Elmi,Sweden,1988.0,,Miljopartiet De Grona (Sweden),female,,,2990.0,LeilaAliElmi
Kim Kum Ok,Dem. People's Rep. Korea,1988.0,,,female,,,,
Shkrum Al Ona Ivanivna,Ukraine,1988.0,,Fraktsiia Politichnoyi Partiyi Vseukrayins Ke Ob Iednannia Bat Kivshchina U Verkhovnii Radi Ukrayini (Ukraine),female,,,,
Sandra Borch,Norway,1988.0,,Senterpartiet (Norway),female,,,,
Galia Stoianova Vasileva,Bulgaria,1988.0,,Parliamentary Group Of Pp Gerb (Bulgaria),female,,,,
Paula Bieler,Sweden,1988.0,,Sverigedemokraterna (Sweden),female,,,28987.0,PaulaBieler
Rodriguez Franco Nosliw Andreina,Venezuela,1988.0,,PSUV (Venezuela),female,,,,
Suslova Irina Mikolayivna,Ukraine,1988.0,,Fraktsiia Politichnoyi Partiyi Ob Iednannia Samopomich (Ukraine),female,,,,
Tugba Hezer Ozturk,Turkey,1988.0,,Halklarin Demokratik Partisi (Turkey),female,,,,
Sultan Kayhan,Sweden,1988.0,,Socialdemokraterna (Sweden),female,,,,
Sara Elena Piedrahita Lyons,Colombia,1988.0,,Partido De La U (Colombia),female,,,,
Ana Karadzic,Serbia,1988.0,,Socialists Movement People S Peasant Party United Peasant Party (Serbia),female,,,,
Ida Karkiainen,Sweden,1988.0,,Socialdemokraterna (Sweden),female,,,,
Sun Ling Lu,,1988.0,,DPP (Taiwan),female,,,,
Camila Vallejo Dowling,Chile,1988.0,,Partido Comunista (Chile),female,,,1599708.0,camila_vallejo
Vanessa D Ambrosio,San Marino,1988.0,,Sinistra Socialista Democratica (San Marino),female,,,,
Laura Monteiro Magalhaes,Portugal,1988.0,,PSD (Portugal),female,,,,
Sanne Lennstrom,Sweden,1988.0,,Socialdemokraterna (Sweden),female,,,,
Emma Hult,Sweden,1988.0,,Miljopartiet De Grona (Sweden),female,,,1856.0,emma_hult
Rhoda Edward Kunchela,Tanzania,1988.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Elena Catalina Stefanescu,Romania,1988.0,,PSD (Romania),female,,,,
Ebba Busch Thor,Sweden,1987.0,,Kristdemokraterna (Sweden),female,,,,buschebba
Zhao Xue Fang,China,1987.0,,,female,,,,
Cecile Muschotti,France,1987.0,,En Marche (France),female,,,6778.0,CMUSCHOTTI
Juliana Daniel Shonza,Tanzania,1987.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Teja Ljubic,Slovenia,1987.0,,Party Of Modern Centre (Slovenia),female,,,,
Sabrine Goubantini,Tunisia,1987.0,,Bloc National (Tunisia),female,,,7923.0,Sabrine_G
Sayida Ounissi,Tunisia,1987.0,,Mouvement Ennahdha (Tunisia),female,,,33892.0,SaidaOunissi
Elisabeth Kaiser,Germany,1987.0,,Social Democratic Party Of Germany (Germany),female,,,,
Emmi Zeulner,Germany,1987.0,,Christian Social Union Of Bavaria (Germany),female,,,,
Aina Kuric,France,1987.0,,En Marche (France),female,,,4778.0,ainakuric
Ione Belarra Urteaga,Spain,1987.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,183699.0,ionebelarra
Katharine Kloke,Germany,1987.0,,Free Democratic Party (Germany),female,,,,
Nicole Bauer,Germany,1987.0,,Free Democratic Party (Germany),female,,,,
Rachael Harder,Canada,1987.0,,Conservative (Canada),female,,,,RachaelHarderMP
Boriana Liubenova Georgieva,Bulgaria,1987.0,,Parliamentary Group Of Pp Volya (Bulgaria),female,,,,
Dilek Ocalan,Turkey,1987.0,,Halklarin Demokratik Partisi (Turkey),female,,,57611.0,OcalanDilek
Mattea Meyer,Switzerland,1987.0,,S (Switzerland),female,,,,
Laura Guadalupe Vargas Vargas,Mexico,1987.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Daniella Cicardini Milla,Chile,1987.0,,Partido Socialista (Chile),female,,,,
Karol Cariola Oliva,Chile,1987.0,,Partido Comunista (Chile),female,,,,Karolcariola
Yoleen Van Camp,Belgium,1987.0,,New Flemish Alliance (Belgium),female,,,,
Li Andersson,Finland,1987.0,,Vasemmistoliitto (Finland),female,,,158575.0,liandersson
Nawal Ben Hamou,Belgium,1987.0,,Socialist Party (Belgium),female,,,,
Katri Kulmuni,Finland,1987.0,,Keskusta (Finland),female,,,41229.0,KatriKulmuni
Karina Gould,Canada,1987.0,,Liberal (Canada),female,,,35919.0,karinagould
Hirunika Premachandra,Sri Lanka,1987.0,,United National Party (Sri Lanka),female,,,,
Irene Kalin,Switzerland,1987.0,,G (Switzerland),female,,,,
Carole Hartmann,Luxembourg,1987.0,,DP (Luxembourg),female,,,,
"Duro, Dora",Hungary,1987.0,,Jobbik (Hungary),female,,,,
Wang An Lan,China,1987.0,,,female,,,,
Jessica Rosencrantz,Sweden,1987.0,,Moderata Samlingspartiet (Sweden),female,,,9916.0,Rosencrantz_J
Salome Wycliffe Makamba,Tanzania,1987.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Anne Kuik,Netherlands,1987.0,,CDA (Netherlands),female,,,7461.0,AnneKuik
Sandra Patricia Sandoval Gonzalez,Guatemala,1987.0,,FCN (Guatemala),female,,,,
Petra Steger,Austria,1987.0,,FPO (Austria),female,,,,
Josefin Malmqvist,Sweden,1987.0,,Moderata Samlingspartiet (Sweden),female,,,,
Maria Manuela Mutti Fornaroli,Uruguay,1987.0,,Partido Frente Amplio (Uruguay),female,,,,
"Daniela Holzinger Vogtenhuber, Ba",Austria,1987.0,,SPO (Austria),female,,,,DanielaNRW13
Thordis Kolbrun R. Gylfadottir,Iceland,1987.0,,Independence Party (Iceland),female,,,,
Thorhildur Sunna Aevarsdottir,Iceland,1987.0,,Pirate Party (Iceland),female,,,,
Angela Crawley,United Kingdom,1987.0,,Scottish National Party (United Kingdom),female,,,,angelacrawleymp
"Gavit, Dr. Heena Vijaykumar",India,1987.0,,Bharatiya Janata Party (India),female,,,,
"Khadse, Smt. Raksha Nikhil",India,1987.0,,Bharatiya Janata Party (India),female,,,,
Luisa Maria Alcalde Lujan,Mexico,1987.0,,Movimiento Regeneracion Nacional (Mexico),female,,,,
Catherine Kelly,United Kingdom,1987.0,,Sinn Fein (United Kingdom),female,,,,
Agata Borowiec,Poland,1987.0,,Klub Parlamentarny Prawo I Sprawiedliwosc (Poland),female,,,,
Catherine Seeley,United Kingdom,1987.0,,Sinn Fein (United Kingdom),female,,,5551.0,CatSeeley
Liv Holm Andersen,Denmark,1987.0,,The Social Liberal Party (Denmark),female,,,3574.0,LivHA
Anne Sina,Denmark,1987.0,,The Social Democratic Party (Denmark),female,,,2490.0,Anne_Sina
Chang Hai Xia,China,1987.0,,,female,,,,
Silva Caka,Albania,1987.0,,,female,,,,
Mette Hanekamhaug,Norway,1987.0,,Fremskrittspartiet (Norway),female,,,,
Anna Kostanyan,Armenia,1987.0,,Bright Armenia (Armenia),female,,,,
Louise Haigh,United Kingdom,1987.0,,Labour (United Kingdom),female,,,,louhaigh
Kari Elisabeth Kaski,Norway,1987.0,,Sosialistisk Venstreparti (Norway),female,,,,
Ascani Anna,Italy,1987.0,,Partito Democratico (Italy),female,,,40541.0,AnnaAscani
Marie Ange Magne,France,1987.0,,En Marche (France),female,,,4518.0,MarieAngeMagne
Katie Hill,United States,1987.0,,Democrat (United States),female,,repkatiehill,76756.0,RepKatieHill
Di Benedetto Chiara,Italy,1987.0,,Movimento 5 Stelle (Italy),female,,,14902.0,Chiara_DiBe
Grande Marta,Italy,1987.0,,Movimento 5 Stelle (Italy),female,,,5304.0,MartaGrande87
Rosa Lund,Denmark,1986.0,,The Red Green Alliance (Denmark),female,,,18014.0,RosaLundEl
Kim Sumin,Korea,1986.0,,Gugminyidang (Korea),female,,,,
Holly Lynch,United Kingdom,1986.0,,Labour (United Kingdom),female,,,,hollylynch5
Tijana Davidovac,Serbia,1986.0,,Serbian Progressive Party (Serbia),female,,,,
Josephine Ortleb,Germany,1986.0,,Social Democratic Party Of Germany (Germany),female,,,,
Masorina Olena Sergiyivna,Ukraine,1986.0,,Fraktsiia Politichnoyi Partiyi Narodnii Front (Ukraine),female,,,,
Alina Zotea Durnea,Moldova,1986.0,,Fractiunea Partidului Liberal (Moldova),female,,,,
Suzuki Takako,Japan,1986.0,,LDP (Japan),female,,,,
Vu Thi Huong Sen,Vietnam,1986.0,,,female,,,,
Lene Vagslid,Norway,1986.0,,Arbeiderpartiet (Norway),female,,,,
Ognievich Zlata Leonidivna,Ukraine,1986.0,,Fraktsiia Radikal Noyi Partiyi Olega Liashka (Ukraine),female,,,67.0,ZlataOgnevich
Mariana Carvalho,Brazil,1986.0,,PSDB (Brazil),female,,,,marianapsdb
Helen Mcentee,Ireland,1986.0,,Fine Gael (Ireland),female,,,,
Zi Gui Ju,China,1986.0,,,female,,,,
Lisa Chambers,Ireland,1986.0,,Fianna Fail (Ireland),female,,,10388.0,lichamber
Shamsia Aziz Mtamba,Tanzania,1986.0,,CUF (Tanzania),female,,,,
Monika Rosa,Poland,1986.0,,Klub Poselski Nowoczesna (Poland),female,,,,
Vicky Maeijer,Netherlands,1986.0,,PVV (Netherlands),female,,,5597.0,VickyMaeijer
Berangere Couillard,France,1986.0,,En Marche (France),female,,,,BCouillard2017
Tan Chun Hui,China,1986.0,,,female,,,,
Kiza Hussein Mayeye,Tanzania,1986.0,,CUF (Tanzania),female,,,,
Jessica Wetterling,Sweden,1986.0,,Vansterpartiet (Sweden),female,,,,
Yosepher Ferdinand Komba,Tanzania,1986.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,23877.0,yosepherfkomba
Joana Mortagua,Portugal,1986.0,,BE (Portugal),female,,,,
Merete Scheelsbeck,Denmark,1986.0,,The Conservative Party (Denmark),female,,,,scheelsbeck
Melisa Rodriguez Hernandez,Spain,1986.0,,G.p. Ciudadanos (Spain),female,,,,mrhciudadanos
Siret Kotka Repinski,Estonia,1986.0,,Estonian Centre Party (Estonia),female,,,,
Paula Forteza,France,1986.0,,En Marche (France),female,,,16446.0,PaulaForteza
Stephanie Peacock,United Kingdom,1986.0,,Labour (United Kingdom),female,,,12371.0,Steph_Peacock
Marine Brenier,France,1986.0,,Les Republicains (France),female,,,13913.0,marinebrenier
Zubeda Hassan Sakuru,Tanzania,1986.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,19290.0,ZubbySakuru
Kirsty Blackman,United Kingdom,1986.0,,Scottish National Party (United Kingdom),female,,,28137.0,KirstySNP
Maria Fernanda Romero Lozano,Mexico,1986.0,,Movimiento Regeneracion Nacional (Mexico),female,,,,
Coccia Laura,Italy,1986.0,,Partito Democratico (Italy),female,,,3259.0,laura_coccia
Violeta Lutovac,Serbia,1986.0,,Serbian Progressive Party (Serbia),female,,,,
Milena Turk,Serbia,1986.0,,Serbian Progressive Party (Serbia),female,,,,
Peng Wei Ping,China,1986.0,,,female,,,,
Hanna Wigh,Sweden,1986.0,,Independent (Sweden),female,,,5304.0,hanna_wigh
Dieni Federica,Italy,1986.0,,Movimento 5 Stelle (Italy),female,,,9609.0,federicadieni
Marta Sorli Fresquet,Spain,1986.0,,G.p. Mixto (Spain),female,,,,casanyeta
Nesci Dalila,Italy,1986.0,,Movimento 5 Stelle (Italy),female,,,14698.0,DalilaNesci
Ashild Bruun Gundersen,Norway,1986.0,,Fremskrittspartiet (Norway),female,,,,
Une Bastholm,Norway,1986.0,,Miljopartiet De Gronne (Norway),female,,,,uneaba
Giordano Silvia,Italy,1986.0,,Movimento 5 Stelle (Italy),female,,,6536.0,giosilvia86
Tina Bru,Norway,1986.0,,Hoyre (Norway),female,,,,
"Poddar, Smt. Aparupa",India,1986.0,,All India Trinamool Congress (India),female,,,,
Lauren Underwood,United States,1986.0,,Democrat (United States),female,,,,LUnderwood630
Ventricelli Liliana,Italy,1986.0,,Partito Democratico (Italy),female,,,2273.0,L_Ventricelli
Soledad Sosa,Argentina,1986.0,,Frente De Izquierda Y De Los Trabajadores (Argentina),female,,,5911.0,solesosa_mza
"Eva Maria Himmelbauer, Bsc",Austria,1986.0,,OVP (Austria),female,,,192.0,EHimmelbauer
Pham Thi My Ngoc,Vietnam,1986.0,,,female,,,,
"Bosz, Anett",Hungary,1986.0,,Parbeszed (Hungary),female,,,,
Claire Sugden,United Kingdom,1986.0,,Independent (United Kingdom),female,,,8573.0,ClaireSugden
Azadeh Rojhan Gustafsson,Sweden,1986.0,,Socialdemokraterna (Sweden),female,,,,
Florence Andiru Nebanda,Uganda,1986.0,,National Resistance Movement (Uganda),female,,,,
Mayra Alejandra Carrillo De Leon,Guatemala,1986.0,,IND (Guatemala),female,,,,
Stanislava Janosevic,Serbia,1986.0,,Serbian Progressive Party (Serbia),female,,,,
Ioana Bran,Romania,1986.0,,PSD (Romania),female,,,,
Emma Rogan,United Kingdom,1986.0,,Sinn Fein (United Kingdom),female,,,,emmarogansf
Tiina Elovaara,Finland,1986.0,,Blue Reform (Finland),female,,,5240.0,TiinaElovaara
Xie Yu,China,1986.0,,,female,,,,
Krwlyn Mzys Mhr Ysr,Egypt,1986.0,,Mstql (Egypt),female,,,,
Sarah Schlitz,Belgium,1986.0,,Ecolo Groen (Belgium),female,,,,sarahschlitz
Rahayu Saraswati Dhirakanya Djojohadikusumo,Indonesia,1986.0,,Great Indonesia Movement Party Faction (Indonesia),female,,,,
Sarti Giulia,Italy,1986.0,,Movimento 5 Stelle (Italy),female,,,29336.0,GiuliaSarti86
Katrin Helling Plahr,Germany,1986.0,,Free Democratic Party (Germany),female,,,,
Aurore Berge,France,1986.0,,En Marche (France),female,,,102303.0,auroreberge
Touneh Drong Minh Tham,Vietnam,1986.0,,,female,,,,
Emma Berginger,Sweden,1986.0,,Miljopartiet De Grona (Sweden),female,,,,
Carmen Muriel Cruz Claros,Bolivia,1986.0,,MAS (Bolivia),female,,,,
Theologou Anna,Cyprus,1986.0,,Citizens Alliance (Cyprus),female,,,,
Iqra Khalid,Canada,1986.0,,Liberal (Canada),female,,,21167.0,iamIqraKhalid
Capozzolo Sabrina,Italy,1986.0,,Partito Democratico (Italy),female,,,1921.0,SabriCapozzolo
Castelli Laura,Italy,1986.0,,Movimento 5 Stelle (Italy),female,,,,LaCastelliM5s
Mariana Mortagua,Portugal,1986.0,,BE (Portugal),female,,,,
Kuvshinova Natal Ia Sergeevna,Russia,1986.0,,Edinaia Rossiia (Russia),female,,,,
Ines Lamego,Portugal,1986.0,,PS (Portugal),female,,,,
Tina Heferle,Slovenia,1986.0,,List Of Marjan Sarec (Slovenia),female,,,,
Sena Nur Celik,Turkey,1986.0,,Adalet Ve Kalkinma Partisi (Turkey),female,,,,
Aleksandra Belacic,Serbia,1986.0,,Serbian Radical Party (Serbia),female,,,7686.0,aleksandrasrs
Arshinova Aliona Igorevna,Russia,1985.0,,Edinaia Rossiia (Russia),female,,,,
Elin Segerlind,Sweden,1985.0,,Vansterpartiet (Sweden),female,,,,
Emilia Toyra,Sweden,1985.0,,Socialdemokraterna (Sweden),female,,,,
Kristyna Koci,Czech Republic,1985.0,,Poslanecky Klub Veci Verejne (Czech Republic),female,,,,
Laetitia Avia,France,1985.0,,En Marche (France),female,,,,LaetitiaAvia
Iumasheva Inga Al Bertovna,Russia,1985.0,,Edinaia Rossiia (Russia),female,,,,
Saara Sofia Siren,Finland,1985.0,,Kokoomus (Finland),female,,,12274.0,saarasofia
Misses Lutfun Nesa,Bangladesh,1985.0,,Bangladesh Awami League (Bangladesh),female,,,,
Maria Cristina Kronfle Gomez,Ecuador,1985.0,,Psc Madera De Guerrero (Ecuador),female,,,37826.0,mckronfle
Joana Barata Lopes,Portugal,1985.0,,PSD (Portugal),female,,,,
Ana Carapic,Serbia,1985.0,,Serbian Progressive Party (Serbia),female,,,,
Lotte Rod,Denmark,1985.0,,The Social Liberal Party (Denmark),female,,,13298.0,LotteRod
Susanna Koski,Finland,1985.0,,Kokoomus (Finland),female,,,8585.0,susannakoski
